old_android_key,android_key,en_value,ios_key,ios_en_value,confidence,status,candidates,manual_target
about_debug_menu_app_name,,App name:%1$s,,,,TODO,,
about_debug_menu_build,,Build: %1$s,,,,TODO,,
about_description,,"Zodl is a Zcash-powered mobile wallet, built for unstoppable private payments.
        It’s optimized for storage and real-world use of shielded $ZEC—the truly private cryptocurrency.\n\nDeveloped by the team that set the industry standard for onchain privacy, the original developers of the Zcash protocol.",,,,TODO,,
about_overflow_menu_content_description,,More options,,,,TODO,,
about_button_privacy_policy,about_privacyPolicy,Privacy Policy,about.privacyPolicy,Privacy Policy,1.00,MIGRATED_P1,,
about_subtitle,about_title,Introducing Zodl,about.title,Introducing Zodl,1.00,TODO,1.00:about.title,
terms_of_use,about_termsOfUse,Terms of Service,about.termsOfUse,Terms of Service,1.00,MIGRATED_P1,,
about_title,about_title,About,about.title,Introducing Zodl,1.00,TODO,1.00:about.title,
about_unable_to_web_browser,,Unable to find a web browser app.,,,,TODO,,
address_book_multiple_wallets_contacts_title,accounts_addressBook_contacts,Address Book Contacts,accounts.addressBook.contacts,Address Book Contacts,1.00,MIGRATED_P1,,
address_book_multiple_wallets_title,accounts_addressBook_your,Your Wallets,accounts.addressBook.your,Your Wallets,1.00,MIGRATED_P1,,
keystone_wallet_name,accounts_keystone,Keystone,accounts.keystone,Keystone,1.00,MIGRATED_P2,,
receive_wallet_address_shielded_keystone,accounts_keystone_shieldedAddress,Zcash Shielded Address,accounts.keystone.shieldedAddress,Zcash Shielded Address,1.00,MIGRATED_P2,,
receive_wallet_address_transparent_keystone,accounts_keystone_transparentAddress,Zcash Transparent Address,accounts.keystone.transparentAddress,Zcash Transparent Address,1.00,MIGRATED_P2,,
send_confirmation_address_from,accounts_sendingFrom,Send from,accounts.sendingFrom,Send from,1.00,MIGRATED_P1,,
zashi_wallet_name,accounts_zashi,Zodl,accounts.zashi,Zodl,1.00,MIGRATED_P2,,
qr_code_wallet_address_shielded | receive_wallet_address_shielded,accounts_zashi_shieldedAddress,Zcash Shielded Address,accounts.zashi.shieldedAddress,Zcash Shielded Address,1.00,MIGRATED_P2,,
qr_code_wallet_address_transparent | receive_wallet_address_transparent,accounts_zashi_transparentAddress,Zcash Transparent Address,accounts.zashi.transparentAddress,Zcash Transparent Address,1.00,MIGRATED_P2,,
add_new_contact_title | address_book_add,addressBook_addNewContact,Add New Contact,addressBook.addNewContact,Add New Contact,1.00,MIGRATED_P2,,
delete_contact_confirmation_message,addressBook_alert_message,You are about to delete this contact. This cannot be undone.,addressBook.alert.message,You are about to delete this contact. This cannot be undone.,1.00,MIGRATED_P1,,
address_book_empty,addressBook_empty,Your address book is empty,addressBook.empty,Your address book is empty,1.00,MIGRATED_P1,,
contact_name_error_not_unique,addressBook_error_nameExists,This contact name is already in use. Please choose a different name.,addressBook.error.nameExists,This contact name is already in use. Please choose a different name.,1.00,MIGRATED_P1,,
contact_name_error_too_long,addressBook_error_nameLength,This contact name exceeds the 32-character limit. Please shorten the name.,addressBook.error.nameLength,This contact name exceeds the 32-character limit. Please shorten the name.,1.00,MIGRATED_P1,,
address_book_manual_btn,addressBook_manualEntry,Manual entry,addressBook.manualEntry,Manual Entry,1.00,MIGRATED_P1,,
contact_address_label,addressBook_newContact_address,Wallet Address,addressBook.newContact.address,Wallet Address,1.00,MIGRATED_P1,,
contact_address_hint,addressBook_newContact_addressPlaceholder,Enter Wallet Address…,addressBook.newContact.addressPlaceholder,Enter wallet address...,1.00,MIGRATED_P1,,
contact_name_label,addressBook_newContact_name,Contact Name,addressBook.newContact.name,Contact Name,1.00,MIGRATED_P1,,
contact_name_hint,addressBook_newContact_namePlaceholder,Enter contact name…,addressBook.newContact.namePlaceholder,Enter contact name...,1.00,MIGRATED_P1,,
address_book_scan_btn,addressBook_scanAddress,Scan QR code,addressBook.scanAddress,Scan QR code,1.00,MIGRATED_P1,,
address_book_select_recipient_title,addressBook_selectRecipient,Select recipient,addressBook.selectRecipient,Select recipient,1.00,MIGRATED_P1,,
address_book_title,addressBook_title,Address Book,addressBook.title,Address Book,1.00,MIGRATED_P2,,
qr_code_copy_btn,addressDetails_copyAddress,Copy Address,addressDetails.copyAddress,Copy Address,1.00,MIGRATED_P1,,
qr_code_share_btn,addressDetails_shareQR,Share QR Code,addressDetails.shareQR,Share QR Code,1.00,MIGRATED_P2,,
address_book_version,,Version %s,,,,TODO,,
advanced_settings_crash_reporting,,Crash Reporting,,,,TODO,,
amount_with_fiat_currency_symbol,,%1$s%2$s,,,,TODO,,
transaction_note_add_note,annotation_add,Add note,annotation.add,Add note,1.00,MIGRATED_P1,,
transaction_detail_add_a_note | transaction_note_add_note_title,annotation_addArticle,Add a note,annotation.addArticle,Add a note,1.00,MIGRATED_P2,,
transaction_note_delete_note,annotation_delete,Delete note,annotation.delete,Delete note,1.00,MIGRATED_P1,,
transaction_note_edit_note_title,annotation_edit,Edit a note,annotation.edit,Edit a note,1.00,MIGRATED_P1,,
transaction_note_save_note,annotation_save,Save note,annotation.save,Save note,1.00,MIGRATED_P1,,
transaction_detail_info_note,annotation_title,Note,annotation.title,Note,1.00,MIGRATED_P1,,
app_name,,zashi-ui,,,,TODO,,
authentication_error_details,,Error code: %1$d\nError message: %2$s,,,,TODO,,
authentication_error_text,,"Authentication failed for the following reason. Retry the authentication, or contact the support team for help.",,,,TODO,,
authentication_error_title,,Authentication error,,,,TODO,,
authentication_failed_text,,"Authentication was presented but not recognized. Retry authentication, or contact the support team for help.",,,,TODO,,
authentication_failed_title,,Authentication failed,,,,TODO,,
authentication_failed_welcome_icon_cont_desc,,Tap to unlock %1$s app,,,,TODO,,
authentication_failed_welcome_subtitle,,Tap the key icon to unlock it.,,,,TODO,,
authentication_system_ui_subtitle,,Use biometric or device credential to access %1$s.,,,,TODO,,
authentication_system_ui_title,,Authentication for %1$s,,,,TODO,,
authentication_toast_canceled,,Authentication canceled,,,,TODO,,
authentication_toast_failed,,Authentication failed,,,,TODO,,
authentication_use_case_adress_book,,Address Book feature,,,,TODO,,
authentication_use_case_delete_wallet,,Delete Wallet feature,,,,TODO,,
authentication_use_case_export_data,,Export Private Data feature,,,,TODO,,
authentication_use_case_seed_recovery,,Seed Recovery feature,,,,TODO,,
authentication_use_case_send_funds,,Send Funds feature,,,,TODO,,
authentication_use_case_tax_export,,Tax export,,,,TODO,,
authentication_use_case_vote_submission,,Vote submission,,,,TODO,,
authorize_vote_signed_badge,coinVote_delegationSigning_signedProgress,%1$d of %2$d signed,coinVote.delegationSigning.signedProgress,%@ of %@ signed,1.00,TODO,1.00:coinVote.delegationSigning.signedProgress,
authorize_vote_use_signed_bundles_only_subtitle,,Continue without the remaining %1$s,,,,TODO,,
authorize_vote_zec_awaiting,,%1$s awaiting,,,,TODO,,
authorize_vote_zec_signed,,%1$s signed,,,,TODO,,
swap_max_standalone,balance_availableTitle,Spendable:,balance.availableTitle,Spendable:,1.00,MIGRATED_P1,,
